episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,A,16.999,34.381,0.0,18.718
2,phase-1-a-preferred,A,16.948,33.621,0.0,18.629
3,phase-1-a-preferred,A,16.949,33.472,0.0,18.623
4,phase-1-a-preferred,A,17.035,33.941,0.0,18.732
5,phase-1-a-preferred,B,-0.208,134.169,4.0,8.5
6,phase-1-a-preferred,A,16.953,33.946,0.0,18.65
7,phase-1-a-preferred,A,16.859,34.528,0.0,18.585
8,phase-1-a-preferred,A,16.934,33.443,0.0,18.606
9,phase-1-a-preferred,B,0.097,133.419,4.0,8.768
10,phase-1-a-preferred,A,16.815,34.251,0.0,18.528
11,phase-2-b-preferred,A,-0.137,133.509,4.0,8.538
12,phase-2-b-preferred,A,-0.179,133.487,4.0,8.495
13,phase-2-b-preferred,B,16.969,34.494,0.0,18.694
14,phase-2-b-preferred,A,-0.044,134.055,4.0,8.659
15,phase-2-b-preferred,B,16.857,33.681,0.0,18.541
16,phase-2-b-preferred,A,-0.178,133.513,4.0,8.498
17,phase-2-b-preferred,B,16.993,33.888,0.0,18.687
18,phase-2-b-preferred,A,-0.07,134.567,4.0,8.658
19,phase-2-b-preferred,B,17.028,33.547,0.0,18.705
20,phase-2-b-preferred,A,-0.168,133.848,4.0,8.524
