episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,A,16.875,33.85,0.0,18.567
2,phase-1-a-preferred,A,17.027,33.935,0.0,18.724
3,phase-1-a-preferred,B,0.039,133.885,4.0,8.733
4,phase-1-a-preferred,A,17.008,34.517,0.0,18.734
5,phase-1-a-preferred,A,16.776,33.788,0.0,18.465
6,phase-1-a-preferred,A,16.793,34.031,0.0,18.495
7,phase-1-a-preferred,A,16.83,34.325,0.0,18.546
8,phase-1-a-preferred,A,16.761,34.328,0.0,18.477
9,phase-1-a-preferred,A,16.806,34.384,0.0,18.525
10,phase-1-a-preferred,A,16.84,33.981,0.0,18.539
11,phase-2-b-preferred,A,-0.055,133.475,4.0,8.619
12,phase-2-b-preferred,A,0.018,133.859,4.0,8.711
13,phase-2-b-preferred,A,-0.087,134.169,4.0,8.621
14,phase-2-b-preferred,B,16.915,34.199,0.0,18.625
15,phase-2-b-preferred,A,-0.087,133.605,4.0,8.593
16,phase-2-b-preferred,B,16.953,34.282,0.0,18.667
17,phase-2-b-preferred,A,-0.172,134.273,4.0,8.542
18,phase-2-b-preferred,B,16.764,34.218,0.0,18.475
19,phase-2-b-preferred,A,-0.165,133.556,4.0,8.513
20,phase-2-b-preferred,B,16.937,33.601,0.0,18.617
