episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,A,16.987,33.505,0.0,18.662
2,phase-1-a-preferred,A,16.775,33.992,0.0,18.475
3,phase-1-a-preferred,A,16.978,34.572,0.0,18.707
4,phase-1-a-preferred,A,16.904,33.533,0.0,18.581
5,phase-1-a-preferred,A,16.889,33.508,0.0,18.564
6,phase-1-a-preferred,A,16.933,33.969,0.0,18.631
7,phase-1-a-preferred,A,16.984,33.712,0.0,18.67
8,phase-1-a-preferred,A,16.84,33.542,0.0,18.517
9,phase-1-a-preferred,A,16.811,33.961,0.0,18.509
10,phase-1-a-preferred,A,16.843,34.163,0.0,18.551
11,phase-2-b-preferred,A,-0.12,134.371,4.0,8.599
12,phase-2-b-preferred,A,0.049,134.225,4.0,8.76
13,phase-2-b-preferred,A,-0.147,133.814,4.0,8.544
14,phase-2-b-preferred,B,16.818,33.675,0.0,18.502
15,phase-2-b-preferred,A,0.061,134.428,4.0,8.782
16,phase-2-b-preferred,B,16.981,33.555,0.0,18.659
17,phase-2-b-preferred,A,-0.159,134.132,4.0,8.548
18,phase-2-b-preferred,B,16.991,33.767,0.0,18.679
19,phase-2-b-preferred,A,-0.087,134.234,4.0,8.625
20,phase-2-b-preferred,A,0.026,133.464,4.0,8.699
