path_class,backbone_hop_count,runs,rtt_mean_ms,rtt_std_ms,rtt_min_ms,rtt_max_ms,throughput_mean_mbps,throughput_std_mbps,throughput_min_mbps,throughput_max_mbps
longest,9,3,214.42466666666667,0.3598373089173619,213.992,214.873,15.699999999999998,0.0,15.7,15.7
median,4,3,104.623,0.68960133410544,103.928,105.563,17.8,0.0,17.8,17.8
shortest,1,3,41.196333333333335,0.2110945022706373,40.999,41.489,18.8,0.0,18.8,18.8
