episode,phase,path,reward,rtt_ms,loss_percent,throughput_mbps
1,phase-1-a-preferred,A,16.959,33.654,0.0,18.642
2,phase-1-a-preferred,A,16.857,33.949,0.0,18.554
3,phase-1-a-preferred,A,16.934,33.548,0.0,18.611
4,phase-1-a-preferred,A,16.996,33.444,0.0,18.668
5,phase-1-a-preferred,A,16.752,34.169,0.0,18.46
6,phase-1-a-preferred,A,16.967,33.484,0.0,18.641
7,phase-1-a-preferred,B,0.024,133.712,4.0,8.71
8,phase-1-a-preferred,A,16.89,34.097,0.0,18.595
9,phase-1-a-preferred,A,17.057,33.419,0.0,18.728
10,phase-1-a-preferred,A,17.042,33.516,0.0,18.718
11,phase-2-b-preferred,A,-0.157,134.458,4.0,8.566
12,phase-2-b-preferred,A,-0.088,134.487,4.0,8.636
13,phase-2-b-preferred,B,16.813,33.814,0.0,18.504
14,phase-2-b-preferred,B,17.038,33.51,0.0,18.714
15,phase-2-b-preferred,B,17.021,34.428,0.0,18.742
16,phase-2-b-preferred,B,16.957,33.849,0.0,18.649
17,phase-2-b-preferred,B,16.801,34.132,0.0,18.508
18,phase-2-b-preferred,B,16.915,34.054,0.0,18.618
19,phase-2-b-preferred,B,16.873,34.234,0.0,18.585
20,phase-2-b-preferred,B,16.986,33.464,0.0,18.659
